input_file/输入文件: log\data2_quiet.csv
valid_samples/有效样本数: 749
skipped_lines/跳过的异常行数: 1
duration_s/记录时长: 23.7610
dt_median_ms/中位时间间隔: 32.0000
dt_min_ms/最小时间间隔: 31
dt_max_ms/最大时间间隔: 32
sample_rate_hz/采样率: 31.2500
adc_mean_mv/ADC平均电压: 1847.5581
adc_median_mv/ADC中位电压: 1844.0000
adc_std_mv/ADC电压标准差: 32.2007
adc_min_mv/ADC最小电压: 1809
adc_max_mv/ADC最大电压: 2135
peak_threshold_mv/R峰检测阈值: 1879.3333
r_peak_count/R峰数量: 17
rr_count/RR间期数量: 11
rr_mean_ms/RR平均间期: 832.4545
rr_median_ms/RR中位间期: 700.0000
rr_min_ms/RR最小间期: 543
rr_max_ms/RR最大间期: 1494
rr_std_ms/RR间期标准差: 284.3640
heart_rate_mean_bpm/平均心率: 72.0760
heart_rate_median_bpm/中位心率: 85.7143
sdnn_ms/SDNN心率变异性: 284.3640
rmssd_ms/RMSSD相邻RR差均方根: 291.0216
pnn50_percent/pNN50相邻RR差超过50ms比例: 50.0000
signal_total_power/信号总功率: 147018.7861
power_0p5_5hz/0.5到5Hz频段功率: 99357.6654
power_5_15hz/5到15Hz频段功率: 19967.9363
power_above_15hz/15Hz以上频段功率: 1782.2233
qrs_to_low_power_ratio/QRS频段与低频功率比: 0.2010
